m=,50
n=,50
dx=,504.7113187538087,m
dy=,310.1360176192224,m
k,i,j,center_x_WebMercator,center_y_WebMercator,center_x_WGS84,center_y_WGS84
2150,43,50,-9535023.81176091,4605703.309351083,-85.65457624548404,38.18577765819707
2151,44,1,-9534519.100442156,4620899.974214424,-85.65004234656699,38.29300000000001
2152,44,2,-9534519.100442156,4620589.838196805,-85.65004234656699,38.290813369738544
2153,44,3,-9534519.100442156,4620279.702179186,-85.65004234656699,38.288626673591715
2154,44,4,-9534519.100442156,4619969.566161566,-85.65004234656699,38.28643991156072
2155,44,5,-9534519.100442156,4619659.430143948,-85.65004234656699,38.28425308364677
2156,44,6,-9534519.100442156,4619349.294126328,-85.65004234656699,38.28206618985104
2157,44,7,-9534519.100442156,4619039.158108709,-85.65004234656699,38.27987923017476
2158,44,8,-9534519.100442156,4618729.02209109,-85.65004234656699,38.2776922046191
2159,44,9,-9534519.100442156,4618418.886073471,-85.65004234656699,38.275505113185304
2160,44,10,-9534519.100442156,4618108.750055851,-85.65004234656699,38.273317955874546
2161,44,11,-9534519.100442156,4617798.614038232,-85.65004234656699,38.27113073268803
2162,44,12,-9534519.100442156,4617488.478020613,-85.65004234656699,38.26894344362697
2163,44,13,-9534519.100442156,4617178.342002993,-85.65004234656699,38.26675608869256
2164,44,14,-9534519.100442156,4616868.205985375,-85.65004234656699,38.26456866788602
2165,44,15,-9534519.100442156,4616558.069967755,-85.65004234656699,38.262381181208525
2166,44,16,-9534519.100442156,4616247.933950136,-85.65004234656699,38.26019362866132
2167,44,17,-9534519.100442156,4615937.797932517,-85.65004234656699,38.258006010245566
2168,44,18,-9534519.100442156,4615627.661914897,-85.65004234656699,38.2558183259625
2169,44,19,-9534519.100442156,4615317.525897278,-85.65004234656699,38.253630575813325
2170,44,20,-9534519.100442156,4615007.389879659,-85.65004234656699,38.25144275979923
2171,44,21,-9534519.100442156,4614697.25386204,-85.65004234656699,38.24925487792145
2172,44,22,-9534519.100442156,4614387.1178444205,-85.65004234656699,38.24706693018117
2173,44,23,-9534519.100442156,4614076.981826802,-85.65004234656699,38.2448789165796
2174,44,24,-9534519.100442156,4613766.845809182,-85.65004234656699,38.24269083711796
2175,44,25,-9534519.100442156,4613456.709791563,-85.65004234656699,38.24050269179746
2176,44,26,-9534519.100442156,4613146.573773944,-85.65004234656699,38.23831448061929
2177,44,27,-9534519.100442156,4612836.437756324,-85.65004234656699,38.23612620358467
2178,44,28,-9534519.100442156,4612526.3017387055,-85.65004234656699,38.233937860694816
2179,44,29,-9534519.100442156,4612216.165721086,-85.65004234656699,38.23174945195093
2180,44,30,-9534519.100442156,4611906.029703467,-85.65004234656699,38.22956097735423
2181,44,31,-9534519.100442156,4611595.8936858475,-85.65004234656699,38.22737243690592
2182,44,32,-9534519.100442156,4611285.757668229,-85.65004234656699,38.22518383060722
2183,44,33,-9534519.100442156,4610975.621650609,-85.65004234656699,38.222995158459334
2184,44,34,-9534519.100442156,4610665.4856329905,-85.65004234656699,38.22080642046348
2185,44,35,-9534519.100442156,4610355.349615371,-85.65004234656699,38.21861761662087
2186,44,36,-9534519.100442156,4610045.213597751,-85.65004234656699,38.21642874693271
2187,44,37,-9534519.100442156,4609735.0775801325,-85.65004234656699,38.21423981140023
2188,44,38,-9534519.100442156,4609424.941562513,-85.65004234656699,38.212050810024635
2189,44,39,-9534519.100442156,4609114.805544894,-85.65004234656699,38.20986174280714
2190,44,40,-9534519.100442156,4608804.669527275,-85.65004234656699,38.207672609748954
2191,44,41,-9534519.100442156,4608494.533509656,-85.65004234656699,38.2054834108513
2192,44,42,-9534519.100442156,4608184.397492036,-85.65004234656699,38.2032941461154
2193,44,43,-9534519.100442156,4607874.261474417,-85.65004234656699,38.20110481554245
